Date;Open;High;Low;Close;Volume;Ticker;Industry;Time
21/01/2025 00:00;430.2000122;430.8999939;425.6000061;428.5;26085700;MSFT;Technology;0
22/01/2025 00:00;437.5599976;447.269989;436;446.2000122;27803800;MSFT;Technology;0
23/01/2025 00:00;442;446.75;441.5;446.7099915;18389300;MSFT;Technology;Pre Quarter
24/01/2025 00:00;445.1600037;446.6499939;441.3999939;444.0599976;15549500;MSFT;Technology;Pre Quarter
27/01/2025 00:00;424.0100098;435.2000122;423.5;434.5599976;35647800;MSFT;Technology;Pre Quarter
28/01/2025 00:00;434.6000061;448.3800049;431.3800049;447.2000122;23491700;MSFT;Technology;Pre Quarter
29/01/2025 00:00;446.6900024;446.8800049;440.3999939;442.3299866;23581400;MSFT;Technology;Pre Quarter
30/01/2025 00:00;418.769989;422.8599854;413.1600037;414.9899902;54586300;MSFT;Technology;Pre Quarter
31/01/2025 00:00;418.980011;420.6900024;414.9100037;415.0599976;34223400;MSFT;Technology;Pre Quarter
03/02/2025 00:00;411.6000061;415.4100037;408.6600037;410.9200134;25679100;MSFT;Technology;Pos Quarter
04/02/2025 00:00;412.6900024;413.9200134;409.7399902;412.3699951;20532100;MSFT;Technology;Pos Quarter
05/02/2025 00:00;412.3500061;413.8299866;410.3999939;413.2900085;16316700;MSFT;Technology;Pos Quarter
06/02/2025 00:00;414;418.2000122;414;415.8200073;16309800;MSFT;Technology;Pos Quarter
07/02/2025 00:00;416.480011;418.6499939;408.1000061;409.75;22886800;MSFT;Technology;Pos Quarter
10/02/2025 00:00;413.7099915;415.4599915;410.9200134;412.2200012;20817900;MSFT;Technology;Pos Quarter
11/02/2025 00:00;409.6400146;412.4899902;409.2999878;411.4400024;18140600;MSFT;Technology;Pos Quarter
12/02/2025 00:00;407.2099915;410.75;404.3699951;409.0400085;19121700;MSFT;Technology;0
13/02/2025 00:00;407;411;406.3599854;410.5400085;23891700;MSFT;Technology;0
14/02/2025 00:00;407.7900085;408.9100037;405.8800049;408.4299927;22758500;MSFT;Technology;0
18/02/2025 00:00;408;410.6000061;406.5;409.6400146;21384700;MSFT;Technology;0
19/02/2025 00:00;408.3599854;411.8486938;407.7399902;410.3999939;7317780;MSFT;Technology;0
21/01/2025 00:00;223.7539842;224.1735211;219.1390632;222.3954773;98070400;AAPL;Technology;0
22/01/2025 00:00;219.5485961;223.8738423;219.5485961;223.5841675;64126500;AAPL;Technology;0
23/01/2025 00:00;224.4931834;226.7806617;222.0558607;223.4143677;60234800;AAPL;Technology;Pre Quarter
24/01/2025 00:00;224.5331275;225.3822001;221.1668336;222.5353241;54697900;AAPL;Technology;Pre Quarter
27/01/2025 00:00;223.7739617;231.8950221;223.7339971;229.6075439;94863400;AAPL;Technology;Pre Quarter
28/01/2025 00:00;230.5964713;239.9262098;230.5565067;237.9983215;75707600;AAPL;Technology;Pre Quarter
29/01/2025 00:00;233.8628716;239.5965731;233.7529918;239.0971222;45486100;AAPL;Technology;Pre Quarter
30/01/2025 00:00;238.4078715;240.5255382;236.9494835;237.3290558;55658300;AAPL;Technology;Pre Quarter
31/01/2025 00:00;246.9185273;246.9185273;233.1836282;235.7408142;101075100;AAPL;Technology;Pre Quarter
03/02/2025 00:00;229.737419;231.5753945;225.4521219;227.7595825;73063300;AAPL;Technology;Pos Quarter
04/02/2025 00:00;227.0004191;232.8739662;226.401072;232.5443268;45067300;AAPL;Technology;Pos Quarter
05/02/2025 00:00;228.2790158;232.4144685;228.0193069;232.2146912;39620300;AAPL;Technology;Pos Quarter
06/02/2025 00:00;231.0359789;233.543232;230.1769228;232.9638672;29925300;AAPL;Technology;Pos Quarter
07/02/2025 00:00;232.3445477;233.743004;227.0104009;227.3800049;39707200;AAPL;Technology;Pos Quarter
10/02/2025 00:00;229.5700073;230.5899963;227.1999969;227.6499939;33115600;AAPL;Technology;Pos Quarter
11/02/2025 00:00;228.1999969;235.2299957;228.1300049;232.6199951;53718400;AAPL;Technology;Pos Quarter
12/02/2025 00:00;231.1999969;236.9600067;230.6799927;236.8699951;45243300;AAPL;Technology;0
13/02/2025 00:00;236.9100037;242.3399963;235.5700073;241.5299988;53614100;AAPL;Technology;0
14/02/2025 00:00;241.25;245.5500031;240.9900055;244.6000061;40896200;AAPL;Technology;0
18/02/2025 00:00;244.1499939;245.1799927;241.8399963;244.4700012;48769700;AAPL;Technology;0
19/02/2025 00:00;244.6100006;246.0099945;243.1604004;244.1300049;12111223;AAPL;Technology;0
21/01/2025 00:00;139.1600037;141.8300018;137.0899963;140.8300018;197749000;NVDA;Technology;0
22/01/2025 00:00;144.6600037;147.7899933;143.6699982;147.0700073;237651400;NVDA;Technology;0
23/01/2025 00:00;145.0500031;147.2299957;143.7200012;147.2200012;155915500;NVDA;Technology;Pre Quarter
24/01/2025 00:00;148.3699951;148.9700012;141.8800049;142.6199951;234657600;NVDA;Technology;Pre Quarter
27/01/2025 00:00;124.8000031;128.3999939;116.6999969;118.4199982;818830900;NVDA;Technology;Pre Quarter
28/01/2025 00:00;121.8099976;129;116.25;128.9900055;579666400;NVDA;Technology;Pre Quarter
29/01/2025 00:00;126.5;126.8899994;120.0500031;123.6999969;467120600;NVDA;Technology;Pre Quarter
30/01/2025 00:00;123.0999985;125;118.0999985;124.6500015;392925500;NVDA;Technology;Pre Quarter
31/01/2025 00:00;123.7799988;127.8499985;119.1900024;120.0699997;390372900;NVDA;Technology;Pre Quarter
03/02/2025 00:00;114.75;118.5699997;113.0100021;116.6600037;371235700;NVDA;Technology;Pos Quarter
04/02/2025 00:00;116.9599991;121.1999969;116.6999969;118.6500015;256550000;NVDA;Technology;Pos Quarter
05/02/2025 00:00;121.7600021;125;120.7600021;124.8300018;262230800;NVDA;Technology;Pos Quarter
06/02/2025 00:00;127.4199982;128.7700043;125.2099991;128.6799927;251483600;NVDA;Technology;Pos Quarter
07/02/2025 00:00;129.2200012;130.3699951;125;129.8399963;228186300;NVDA;Technology;Pos Quarter
10/02/2025 00:00;130.0899963;135;129.9600067;133.5700073;216989100;NVDA;Technology;Pos Quarter
11/02/2025 00:00;132.5800018;134.4799957;131.0200043;132.8000031;178902400;NVDA;Technology;Pos Quarter
12/02/2025 00:00;130.0200043;132.2400055;129.0800018;131.1399994;160278600;NVDA;Technology;0
13/02/2025 00:00;131.5599976;136.5;131.1699982;135.2899933;197430000;NVDA;Technology;0
14/02/2025 00:00;136.4799957;139.25;135.5;138.8500061;195479600;NVDA;Technology;0
18/02/2025 00:00;141.2700043;143.4400024;137.9299927;139.3999939;218478900;NVDA;Technology;0
19/02/2025 00:00;139.5099945;140.4199066;137.2200012;139.8800049;71538890;NVDA;Technology;0
21/01/2025 00:00;199.0700073;202.2899933;197.8699951;198.0500031;29971300;GOOGL;Technology;0
22/01/2025 00:00;199.0599976;200.4799957;197.5299988;198.3699951;26200600;GOOGL;Technology;0
23/01/2025 00:00;198.1399994;200.3000031;195.1999969;197.9799957;26951400;GOOGL;Technology;Pre Quarter
24/01/2025 00:00;198.1000061;200.8999939;198;200.2100067;23877500;GOOGL;Technology;Pre Quarter
27/01/2025 00:00;192.4100037;196.8800049;190.7299957;191.8099976;41728900;GOOGL;Technology;Pre Quarter
28/01/2025 00:00;192.75;195.4799957;190.6799927;195.3000031;24157900;GOOGL;Technology;Pre Quarter
29/01/2025 00:00;195.5599976;196.7899933;193.4299927;195.4100037;18218300;GOOGL;Technology;Pre Quarter
30/01/2025 00:00;198;201.3999939;197.6699982;200.8699951;24354700;GOOGL;Technology;Pre Quarter
31/01/2025 00:00;202;205.4799957;201.8000031;204.0200043;32042000;GOOGL;Technology;Pre Quarter
03/02/2025 00:00;200.6900024;203.75;200.1000061;201.2299957;27838300;GOOGL;Technology;Pos Quarter
04/02/2025 00:00;203.3899994;207.0500031;202.8099976;206.3800049;43856400;GOOGL;Technology;Pos Quarter
05/02/2025 00:00;191.0700073;192.75;188.0299988;191.3300018;70373900;GOOGL;Technology;Pos Quarter
06/02/2025 00:00;189.5;192.1000061;188.7200012;191.6000061;29297400;GOOGL;Technology;Pos Quarter
07/02/2025 00:00;191.0500031;191.1799927;183.2400055;185.3399963;49315000;GOOGL;Technology;Pos Quarter
10/02/2025 00:00;187.3500061;188.1999969;185.8600006;186.4700012;23105600;GOOGL;Technology;Pos Quarter
11/02/2025 00:00;185.0299988;186.9400024;184.2799988;185.3200073;21239500;GOOGL;Technology;Pos Quarter
12/02/2025 00:00;183.2200012;185.1100006;181.8300018;183.6100006;22072600;GOOGL;Technology;0
13/02/2025 00:00;184.3200073;186.2799988;183.1399994;186.1399994;21402500;GOOGL;Technology;0
14/02/2025 00:00;185.0599976;186.3999939;184.3200073;185.2299957;20448400;GOOGL;Technology;0
18/02/2025 00:00;185.6000061;185.9600067;181.7400055;183.7700043;29878700;GOOGL;Technology;0
19/02/2025 00:00;184.3350067;185.1799927;183.6000061;184.5599976;6998222;GOOGL;Technology;0
21/01/2025 00:00;228.8999939;231.7799988;226.9400024;230.7100067;39951500;AMZN;Technology;0
22/01/2025 00:00;232.0200043;235.4400024;231.1900024;235.0099945;41448200;AMZN;Technology;0
23/01/2025 00:00;234.1000061;235.5200043;231.5099945;235.4199982;26404400;AMZN;Technology;Pre Quarter
24/01/2025 00:00;234.5;236.3999939;232.9299927;234.8500061;25890700;AMZN;Technology;Pre Quarter
27/01/2025 00:00;226.2100067;235.6100006;225.8600006;235.4199982;49428300;AMZN;Technology;Pre Quarter
28/01/2025 00:00;234.2899933;241.7700043;233.9799957;238.1499939;41587200;AMZN;Technology;Pre Quarter
29/01/2025 00:00;239.0200043;240.3899994;236.1499939;237.0700073;26091700;AMZN;Technology;Pre Quarter
30/01/2025 00:00;237.1399994;237.9499969;232.2200012;234.6399994;32020700;AMZN;Technology;Pre Quarter
31/01/2025 00:00;236.5;240.2899933;236.4100037;237.6799927;36162400;AMZN;Technology;Pre Quarter
03/02/2025 00:00;234.0599976;239.25;232.8999939;237.4199982;37285900;AMZN;Technology;Pos Quarter
04/02/2025 00:00;239.0099945;242.5200043;238.0299988;242.0599976;29713800;AMZN;Technology;Pos Quarter
05/02/2025 00:00;237.0200043;238.3200073;235.1999969;236.1699982;38727300;AMZN;Technology;Pos Quarter
06/02/2025 00:00;238.0099945;239.6600037;236.0099945;238.8300018;60897100;AMZN;Technology;Pos Quarter
07/02/2025 00:00;232.5;234.8099976;228.0599976;229.1499939;77539300;AMZN;Technology;Pos Quarter
10/02/2025 00:00;230.5500031;233.9199982;229.1999969;233.1399994;35419900;AMZN;Technology;Pos Quarter
11/02/2025 00:00;231.9199982;233.4400024;230.1300049;232.7599945;23713700;AMZN;Technology;Pos Quarter
12/02/2025 00:00;230.4600067;231.1799927;228.1600037;228.9299927;32285200;AMZN;Technology;0
13/02/2025 00:00;228.8500061;230.4199982;227.5200043;230.3699951;31346500;AMZN;Technology;0
14/02/2025 00:00;229.1999969;229.8899994;227.2299957;228.6799927;27031100;AMZN;Technology;0
18/02/2025 00:00;228.8200073;229.3000031;223.7200012;226.6499939;42913900;AMZN;Technology;0
19/02/2025 00:00;225.3999939;226.1600037;223.7100067;224.6450043;9535856;AMZN;Technology;0
21/01/2025 00:00;617.8300171;621.5;609.0100098;616.460022;11674000;META;Technology;0
22/01/2025 00:00;623.2999878;633.7000122;619.4299927;623.5;12274000;META;Technology;0
